1;а;а;CCONJ ;_;_;_;_;_;@mvs1985m-words#@mvs1985m#0.0#0.346
2;как;как;ADV;_;Degree=Pos;_;_;_;@mvs1985m-words#@mvs1985m#0.346#0.692
3;так;так;ADV;_;Degree=Pos;_;_;_;@mvs1985m-words#@mvs1985m#0.692#1.038
4;получилось;получиться;VERB;_;Aspect=Perf|Gender=Neut|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Mid;_;_;_;@mvs1985m-words#@mvs1985m#1.038#1.384
5;што;что;SCONJ;_;_;_;_;_;@mvs1985m-words#@mvs1985m#1.384#1.73
6;власть;власть;NOUN;_;Animacy=Inan|Case=Nom|Gender=Fem|Number=Sing;_;_;_;@mvs1985m-words#@mvs1985m#1.73#2.076
7;не;не;PART;_;_;_;_;_;@mvs1985m-words#@mvs1985m#2.076#2.422
8;подготовила;подготовить;VERB;_;Aspect=Perf|Gender=Fem|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act;_;_;_;@mvs1985m-words#@mvs1985m#2.422#2.768
9;себе;себя;PRON;_;Case=Dat;_;_;_;@mvs1985m-words#@mvs1985m#2.768#3.114
10;никакого;никакой;DET;_;Case=Gen|Gender=Masc|Number=Sing;_;_;_;@mvs1985m-words#@mvs1985m#3.114#3.46
11;приемника;приемник;NOUN;_;Animacy=Anim|Case=Gen|Gender=Masc|Number=Sing;_;_;_;@mvs1985m-words#@mvs1985m#3.46#3.81
12;и;и;CCONJ;_;_;_;_;_;@mvs1985m-words#@mvs1985m#3.926#4.437
13;вообще;вообще;ADV;_;Degree=Pos;_;_;_;@mvs1985m-words#@mvs1985m#4.437#4.948
14;каких-либо;какой-либо;DET;_;Case=Gen|Number=Plur;_;_;_;@mvs1985m-words#@mvs1985m#4.948#5.459
15;эээ;эээ;INTJ;_;_;_;_;_;@mvs1985m-words#@mvs1985m#5.459#5.97
16;каких-либо;какой-либо;DET;_;Case=Gen|Number=Plur;_;_;_;@mvs1985m-words#@mvs1985m#5.97#6.481
17;ходов;ход;NOUN;_;Animacy=Inan|Case=Gen|Gender=Masc|Number=Plur;_;_;_;@mvs1985m-words#@mvs1985m#6.481#6.992
18;каких-либо;какой-либо;DET;_;Case=Gen|Number=Plur;_;_;_;@mvs1985m-words#@mvs1985m#6.992#7.503
19;для;для;ADP;_;_;_;_;_;@mvs1985m-words#@mvs1985m#7.503#8.014
20;смены;смена;NOUN;_;Animacy=Inan|Case=Gen|Gender=Fem|Number=Sing;_;_;_;@mvs1985m-words#@mvs1985m#8.014#8.525
21;например;например;ADV;_;Degree=Pos;_;_;_;@mvs1985m-words#@mvs1985m#8.525#9.036
22;лиц;лицо;NOUN;_;Animacy=Anim|Case=Gen|Gender=Neut|Number=Plur;_;_;_;@mvs1985m-words#@mvs1985m#9.036#9.547
23;там;там;ADV;_;Degree=Pos;_;_;_;@mvs1985m-words#@mvs1985m#9.547#10.058
24;нет;нет;PRED;_;_;_;_;_;@mvs1985m-words#@mvs1985m#10.058#10.569
25;вообще;вообще;ADV;_;Degree=Pos;_;_;_;@mvs1985m-words#@mvs1985m#10.569#11.084
26;?;?;PUNCT;_;_;_;_;_;@mvs1985m-words#@mvs1985m#11.084#12.000
27;а;а;CCONJ;_;_;_;_;_;@mvs1985m-words#@mvs1985m#13.105#13.341
28;скока;сколько;NUM;_;_;_;_;_;@mvs1985m-words#@mvs1985m#13.341#13.577
29;ж;же;PART;_;_;_;_;_;@mvs1985m-words#@mvs1985m#13.577#13.813
30;восемнадцать;восемнадцать;NUM;_;Case=Acc;_;_;_;@mvs1985m-words#@mvs1985m#13.813#14.049
31;лет;год;NOUN;_;Animacy=Inan|Case=Gen|Gender=Masc|Number=Plur;_;_;_;@mvs1985m-words#@mvs1985m#14.049#14.285
32;погождаем;ждать;VERB;_;Aspect=Imp|Mood=Ind|Number=Plur|Person=1|Tense=Pres|VerbForm=Fin|Voice=Act;_;_;_;@mvs1985m-words#@mvs1985m#14.285#14.526
33;не;не;PART;_;_;_;_;_;@mvs1985m-words#@mvs1985m#19.0#19.154
34;а;а;CCONJ;_;_;_;_;_;@mvs1985m-words#@mvs1985m#19.154#19.308
35;я;я;PRON;_;Case=Nom|Number=Sing|Person=1;_;_;_;@mvs1985m-words#@mvs1985m#19.308#19.462
36;не;не;PART;_;_;_;_;_;@mvs1985m-words#@mvs1985m#19.462#19.616
37;тока;только;PART;_;_;_;_;_;@mvs1985m-words#@mvs1985m#19.616#19.77
38;про;про;ADP;_;_;_;_;_;@mvs1985m-words#@mvs1985m#19.77#19.924
39;первое;первый;ADJ;_;Case=Acc|Degree=Pos|Gender=Neut|Number=Sing;_;_;_;@mvs1985m-words#@mvs1985m#19.924#20.078
40;лицо;лицо;NOUN;_;Animacy=Inan|Case=Acc|Gender=Neut|Number=Sing;_;_;_;@mvs1985m-words#@mvs1985m#20.078#20.232
41;я;я;PRON;_;Case=Nom|Number=Sing|Person=1;_;_;_;@mvs1985m-words#@mvs1985m#20.232#20.386
42;имею;иметь;VERB;_;Aspect=Imp|Mood=Ind|Number=Sing|Person=1|Tense=Pres|VerbForm=Fin|Voice=Act;_;_;_;@mvs1985m-words#@mvs1985m#20.386#20.54
43;в;в;ADP;_;_;_;_;_;@mvs1985m-words#@mvs1985m#20.54#20.694
44;виду;вид;NOUN;_;Animacy=Inan|Case=Loc|Gender=Masc|Number=Sing;_;_;_;@mvs1985m-words#@mvs1985m#20.694#20.848
45;в;в;ADP;_;_;_;_;_;@mvs1985m-words#@mvs1985m#20.848#21.002
46;том;тот;DET;_;Case=Loc|Gender=Neut|Number=Sing;_;_;_;@mvs1985m-words#@mvs1985m#21.002#21.156
47;числе;число;NOUN;_;Animacy=Inan|Case=Loc|Gender=Neut|Number=Sing;_;_;_;@mvs1985m-words#@mvs1985m#21.156#21.31
48;и;и;PART;_;_;_;_;_;@mvs1985m-words#@mvs1985m#21.31#21.464
49;про;про;ADP;_;_;_;_;_;@mvs1985m-words#@mvs1985m#21.464#21.618
50;свиту;свита;NOUN;_;Animacy=Inan|Case=Acc|Gender=Fem|Number=Sing;_;_;_;@mvs1985m-words#@mvs1985m#21.618#21.772
51;они;они;PRON;_;Case=Nom|Number=Plur|Person=3;_;_;_;@mvs1985m-words#@mvs1985m#21.772#21.926
52;ж;же;PART;_;_;_;_;_;@mvs1985m-words#@mvs1985m#21.926#22.08
53;ротируют;ротировать;VERB;_;Aspect=Imp|Mood=Ind|Number=Plur|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act;_;_;_;@mvs1985m-words#@mvs1985m#22.08#22.234
54;одних;один;DET;_;Case=Gen|Degree=Pos|Number=Plur;_;_;_;@mvs1985m-words#@mvs1985m#22.234#22.388
55;и;и;CCONJ;_;_;_;_;_;@mvs1985m-words#@mvs1985m#22.388#22.542
56;тех;тот;DET;_;Case=Gen|Number=Plur;_;_;_;@mvs1985m-words#@mvs1985m#22.542#22.696
57;же;же;PART;_;_;_;_;_;@mvs1985m-words#@mvs1985m#22.696#22.85
58;людей;человек;NOUN;_;Animacy=Anim|Case=Gen|Gender=Masc|Number=Plur;_;_;_;@mvs1985m-words#@mvs1985m#22.85#23.004
59;тридцать;тридцать;NUM;_;Case=Gen;_;_;_;@mvs1985m-words#@mvs1985m#23.004#23.158
60;лет;год;NOUN;_;Animacy=Inan|Case=Gen|Gender=Masc|Number=Plur;_;_;_;@mvs1985m-words#@mvs1985m#23.158#23.312
